#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A963CD
#Date Time: 2022-02-24 14:41:31.894
#Sample rate: 363636Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 200 Hz
#Period: 5 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ?

Time (s),Channel 1 (V),Channel 2 (V)
-0.021832874698633806,-1.0020175093795431,-1.0088362622846345
-0.021830124698633806,-1.0020175093795431,-0.9976911050999541
-0.021827374698633807,-1.002352218619004,-0.986883679951178
-0.021824624698633804,-1.0020175093795431,-0.9767517188741864
-0.02182187469863381,-1.0020175093795431,-0.9669574898331169
-0.021819124698633806,-1.0020175093795431,-0.9581764568997235
-0.021816374698633807,-1.0020175093795431,-0.9504086200740371
-0.021813624698633807,-1.0026869278584647,-0.9429785152842535
-0.021810874698633805,-1.002686927858465,-0.9368993386380587
-0.02180812469863381,-1.002686927858465,-0.9321710901354735
-0.021805374698633806,-1.003021637097926,-0.9284560377405757
-0.021802624698633807,-1.0023522186190041,-0.9260919134892799
-0.021799874698633807,-1.0026869278584647,-0.9250787173815821
-0.021797124698633805,-1.0026869278584647,-0.9247409853456829
-0.02179437469863381,-1.0023522186190044,-0.9264296455251777
-0.021791624698633806,-1.0020175093795431,-0.9284560377405757
-0.021788874698633807,-1.0020175093795431,-0.9314956260636703
-0.021786124698633808,-1.0016828001400826,-0.9355484104944614
-0.021783374698633805,-1.0020175093795434,-0.940614391032957
-0.021780624698633805,-1.0026869278584647,-0.9463558356432471
-0.021777874698633806,-1.0020175093795431,-0.952772744325333
-0.021775124698633807,-1.002352218619004,-0.9598651170792173
-0.021772374698633808,-1.0016828001400826,-0.9679706859408026
-0.021769624698633805,-1.0023522186190041,-0.9764139868382951
-0.021766874698633806,-1.0023522186190041,-0.9841818236639817
-0.021764124698633806,-1.0023522186190041,-0.992625124561463
-0.021761374698633807,-1.0020175093795434,-1.0007306934230449
-0.021758624698633808,-1.002352218619004,-1.0088362622846307
-0.021755874698633805,-1.0020175093795431,-1.0162663670744247
-0.021753124698633806,-1.0020175093795431,-1.0236964718642083
-0.021750374698633806,-1.0023522186190041,-1.0301133805462972
-0.021747624698633804,-1.0020175093795431,-1.0365302892283905
-0.021744874698633808,-1.0020175093795431,-1.0415962697668748
-0.021742124698633805,-1.0016828001400824,-1.046999982341269
-0.021739374698633806,-1.0016828001400824,-1.0503773027002616
-0.021736624698633807,-1.0016828001400824,-1.0534168910233561
-0.021733874698633804,-1.002017509379543,-1.0554432832387541
-0.021731124698633808,-1.0016828001400826,-1.0571319434182491
-0.021728374698633805,-1.0023522186190044,-1.0571319434182498
-0.021725624698633806,-1.003021637097926,-1.0571319434182498
-0.021722874698633807,-1.0020175093795431,-1.055781015274652
-0.021720124698633804,-1.0023522186190041,-1.053416891023354
-0.021717374698633808,-1.0023522186190041,-1.0510527667720626
-0.021714624698633805,-1.0020175093795434,-1.0473377143771652
-0.021711874698633806,-1.0023522186190041,-1.0436226619822735
-0.021709124698633807,-1.0013480909006214,-1.0395698775514806
-0.021706374698633804,-1.0023522186190041,-1.0341661649770852
-0.02170362469863381,-1.0023522186190041,-1.0287624524027044
-0.021700874698633806,-1.0020175093795436,-1.023021007792407
-0.021698124698633806,-1.003021637097926,-1.0172795631821197
-0.021695374698633807,-1.0023522186190044,-1.011200386535933
-0.021692624698633804,-1.002352218619004,-1.0054589419256346
-0.02168987469863381,-1.0020175093795434,-0.9990420332435576
-0.021687124698633806,-1.0023522186190041,-0.9933005886332618
-0.021684374698633806,-1.0023522186190041,-0.9885723401306701
-0.021681624698633807,-1.0023522186190041,-0.9831686275562821
-0.021678874698633804,-1.0026869278584647,-0.9791158431254827
-0.02167612469863381,-1.0023522186190044,-0.9747253266587984
-0.021673374698633806,-1.0020175093795431,-0.971010274263901
-0.021670624698633806,-1.002686927858465,-0.9676329539049069
-0.021667874698633807,-1.0023522186190044,-0.9649310976177129
-0.021665124698633804,-1.002352218619004,-0.9635801694741133
-0.02166237469863381,-1.001682800140083,-0.9622292413305176
-0.021659624698633806,-1.0020175093795431,-0.9615537772587176
-0.021656874698633807,-1.0020175093795431,-0.9612160452228181
-0.021654124698633807,-1.0020175093795431,-0.9615537772587175
-0.021651374698633805,-1.002352218619004,-0.9635801694741146
-0.02164862469863381,-1.0020175093795434,-0.9649310976177105
-0.021645874698633806,-1.0020175093795431,-0.9672952218690075
-0.021643124698633807,-1.0020175093795431,-0.9699970781562027
-0.021640374698633807,-1.0020175093795431,-0.9730366664792961
-0.021637624698633805,-1.002017509379543,-0.9767517188741924
-0.021634874698633805,-1.0016828001400824,-0.9801290392331868
-0.021632124698633806,-1.0016828001400824,-0.9841818236639778
-0.021629374698633807,-1.0016828001400824,-0.9882346080947688
